textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Afghanistan,9,Mobile,9,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Afghanistan,9,Mobile,9,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Burma,2,Birmingham,0,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Burma,1,Birmingham,1,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Burma,2,Mobile,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Burma,1,Mobile,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Central African Republic,5,Mobile,5,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Central African Republic,0,Mobile,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Colombia,2,Bessemer,0,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Colombia,3,Bessemer,3,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Colombia,2,Mobile,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Colombia,3,Mobile,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Cuba,2,Mobile,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Cuba,0,Mobile,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Dem. Rep. Congo,54,Mobile,54,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Dem. Rep. Congo,19,Mobile,19,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Iraq,23,Mobile,23,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Iraq,6,Mobile,5,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Iraq,23,Theodore,0,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Iraq,6,Theodore,1,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Pakistan,4,Mobile,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Pakistan,0,Mobile,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Rwanda,6,Mobile,6,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Rwanda,0,Mobile,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Somalia,11,Mobile,11,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Somalia,3,Mobile,3,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Sudan,2,Mobile,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Sudan,6,Mobile,6,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2016,120,Ukraine,0,Huntsville,0,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alabama,CY 2017,50,Ukraine,3,Huntsville,3,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2016,112,Bhutan,6,Anchorage,6,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2017,65,Bhutan,0,Anchorage,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2016,112,Burma,4,Anchorage,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2017,65,Burma,0,Anchorage,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2016,112,Dem. Rep. Congo,24,Anchorage,24,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2017,65,Dem. Rep. Congo,9,Anchorage,9,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2016,112,Eritrea,7,Anchorage,7,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2017,65,Eritrea,0,Anchorage,0,"33,368"
